time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-13T17:34:41.889Z,50.8714,-130.1389,8.07,4.6,mb,,148,1.294,1.31,us,us7000hh4b,2022-06-17T17:21:20.426Z,"217 km W of Port McNeill, Canada",earthquake,7.2,2.4,0.036,231,reviewed,us,us
2022-06-13T17:26:55.760Z,-15.3807,167.7949,223.7,4.9,mb,,109,0.574,0.84,us,us7000hh4a,2022-06-17T17:16:43.040Z,"69 km ENE of Luganville, Vanuatu",earthquake,11,1.6,0.061,84,reviewed,us,us
2022-06-13T16:42:20.420Z,17.9825,-66.9555,11.16,2.55,md,8,167,,0.09,pr,pr71353943,2022-06-13T17:27:37.490Z,"4 km W of Fuig, Puerto Rico",earthquake,0.78,0.87,0.0742772084542151,5,reviewed,pr,pr
2022-06-13T16:29:19.800Z,17.944,-66.9628333333333,14.1,2.55,md,13,216,,0.15,pr,pr71353928,2022-06-13T16:48:14.910Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.66,0.68,0.124219926478137,8,reviewed,pr,pr
2022-06-13T15:44:41.627Z,23.0638,94.5797,98.46,4.3,mb,,72,3.226,0.8,us,us7000hh3k,2022-06-13T16:27:00.040Z,"66 km SSE of Mawlaik, Myanmar",earthquake,7.7,6.1,0.122,21,reviewed,us,us
2022-06-13T15:11:56.380Z,19.1693333333333,-155.495,34.45,2.82,ml,52,99,,0.12,hv,hv73042942,2022-06-14T13:25:10.040Z,"4 km SSW of P?hala, Hawaii",earthquake,0.42,0.57,0.1908274162521,31,reviewed,hv,hv
2022-06-13T15:06:56.506Z,37.9938,75.0657,74.64,4.3,mb,,97,2.951,0.38,us,us7000hh3e,2022-06-13T15:42:18.040Z,"98 km ESE of Murghob, Tajikistan",earthquake,8.7,8.4,0.117,24,reviewed,us,us
2022-06-13T14:53:47.962Z,29.27764893,-97.44381893,3.839396159,2.5,ml,17,54,0.02898847432,0.3,tx,tx2022lmyn,2022-06-13T15:29:16.040Z,"18 km E of Smiley, Texas",earthquake,2.439600157,1.81960159,0.1,11,reviewed,tx,tx
2022-06-13T13:13:28.720Z,18.4321666666667,-65.1075,16.43,3.09,md,5,230,,0.23,pr,pr71353918,2022-06-13T14:28:52.010Z,"21 km WNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,5.32,3.24,0.113437290261611,3,reviewed,pr,pr
2022-06-13T11:18:35.105Z,24.188,123.6782,23.13,4.6,mb,,107,0.668,0.36,us,us7000hh2r,2022-06-13T11:45:58.040Z,"51 km WSW of Ishigaki, Japan",earthquake,3.7,5.3,0.06,82,reviewed,us,us
2022-06-13T11:09:04.500Z,36.84983333,-97.78566667,7.95,3.14,ml,89,65,0,0.21,ok,ok2022lmrb,2022-06-16T13:29:36.955Z,"6 km NW of Medford, Oklahoma",earthquake,,0.6,0.25,41,reviewed,ok,ok
2022-06-13T10:23:06.550Z,36.4141667,-120.989,10.98,2.87,md,67,90,0.06912,0.1,nc,nc73744941,2022-06-14T09:54:10.836Z,"19km SE of Pinnacles, CA",earthquake,0.18,0.36,0.123,131,reviewed,nc,nc
2022-06-13T09:45:10.910Z,33.5033333,-116.4615,5.64,2.55,ml,111,19,0.03599,0.19,ci,ci40039327,2022-06-15T14:08:42.103Z,"20km ESE of Anza, CA",earthquake,0.1,0.33,0.169,25,reviewed,ci,ci
2022-06-13T09:40:43.530Z,38.9461667,-123.0025,6.06,3.01,ml,72,49,0.1101,0.08,nc,nc73744931,2022-06-16T18:59:20.635Z,"13km SW of Lakeport, CA",earthquake,0.17,0.47,0.153,68,reviewed,nc,nc
2022-06-13T08:44:14.740Z,18.6508333333333,-66.4793333333333,63.27,2.79,md,14,227,,0.22,pr,pr71353888,2022-06-13T09:40:26.340Z,"20 km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.29,1.5,0.0603519192156541,10,reviewed,pr,pr
2022-06-13T07:54:27.127Z,-20.453,-69.2412,94.48,4,mb,,94,0.321,0.28,us,us7000hh22,2022-06-15T23:36:21.429Z,"98 km ESE of Iquique, Chile",earthquake,4.9,4.2,0.26,4,reviewed,us,us
2022-06-13T07:04:17.982Z,-46.8408,-10.5529,10,4.9,mb,,104,18.008,0.32,us,us7000hh1u,2022-06-13T07:23:53.040Z,"southern Mid-Atlantic Ridge",earthquake,11,1.6,0.079,51,reviewed,us,us
2022-06-13T06:19:03.873Z,34.4738,85.2722,10,4.2,mb,,96,6.652,0.25,us,us7000hh1n,2022-06-13T07:35:32.040Z,"western Xizang",earthquake,6.9,1.9,0.167,10,reviewed,us,us
2022-06-13T05:34:35.891Z,36.4344,70.7813,206.69,4.4,mb,,74,0.709,0.78,us,us7000hh1f,2022-06-13T06:41:33.040Z,"47 km S of Jurm, Afghanistan",earthquake,3.1,5.3,0.087,38,reviewed,us,us
2022-06-13T05:25:52.959Z,-22.8628,-174.1796,10,4.9,mb,,94,7.205,0.71,us,us7000hh1e,2022-06-13T05:45:47.040Z,"187 km SSE of ‘Ohonua, Tonga",earthquake,8.8,1.9,0.076,54,reviewed,us,us
