time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-31T06:23:01.390Z,-22.4521,170.1654,10,4.3,mb,,208,2.518,0.51,us,us7000gzwr,2022-06-04T20:42:28.040Z,"256 km ESE of Tadine, New Caledonia",earthquake,11.2,1.9,0.137,18,reviewed,us,us
2022-03-31T06:20:42.603Z,-22.37,170.388,10,4,mb,,192,2.731,0.32,us,us7000gzwq,2022-06-04T20:42:28.040Z,"274 km ESE of Tadine, New Caledonia",earthquake,9.1,1.9,0.172,10,reviewed,us,us
2022-03-31T06:17:03.981Z,-22.4157,170.3923,10,4.9,mb,,96,2.731,0.54,us,us7000gzvt,2022-06-04T20:42:28.040Z,"276 km ESE of Tadine, New Caledonia",earthquake,3.9,1.9,0.087,50,reviewed,us,us
2022-03-31T06:13:03.159Z,52.06,-171.6656,19.34,2.5,ml,,207,1.495,0.42,us,us7000h7mh,2022-06-04T20:42:28.040Z,"174 km E of Atka, Alaska",earthquake,10.1,15.3,0.115,10,reviewed,us,us
2022-03-31T06:12:24.839Z,-22.3751,170.3502,10,5.6,mb,,70,2.695,0.68,us,us7000gymz,2022-06-04T20:42:28.040Z,"271 km ESE of Tadine, New Caledonia",earthquake,3.2,1.8,0.049,150,reviewed,us,us
2022-03-31T06:09:47.890Z,-22.3661,170.1769,10,5.2,mb,,68,2.537,0.54,us,us7000gymy,2022-06-04T20:42:28.040Z,"253 km ESE of Tadine, New Caledonia",earthquake,7.3,1.9,0.071,70,reviewed,us,us
2022-03-31T06:07:59.752Z,-22.4937,170.1813,10,4.6,mb,,108,2.53,0.4,us,us7000gzva,2022-06-04T20:42:28.040Z,"259 km ESE of Tadine, New Caledonia",earthquake,7.9,1.9,0.122,24,reviewed,us,us
2022-03-31T06:03:20.129Z,-22.3326,170.5345,10,4.9,mb,,74,2.869,0.46,us,us7000gzwu,2022-06-04T20:42:27.040Z,"287 km ESE of Tadine, New Caledonia",earthquake,9,1.9,0.14,28,reviewed,us,us
2022-03-31T06:02:09.293Z,-22.4628,170.3834,10,5.6,mww,,32,2.719,0.49,us,us7000gymw,2022-06-04T20:42:27.040Z,"277 km ESE of Tadine, New Caledonia",earthquake,7.4,1.9,0.098,10,reviewed,us,us
2022-03-31T06:01:42.941Z,-22.2977,170.3875,10,4,mb,,71,2.738,0.88,us,us7000gzv8,2022-06-04T20:42:27.040Z,"272 km ESE of Tadine, New Caledonia",earthquake,8.6,1.9,0.232,5,reviewed,us,us
2022-03-31T05:58:50.701Z,-22.4516,170.6141,10,4.1,mb,,191,2.933,0.72,us,us7000gzv9,2022-06-04T20:42:27.040Z,"299 km ESE of Tadine, New Caledonia",earthquake,10.9,2,0.214,7,reviewed,us,us
2022-03-31T05:55:47.047Z,-21.9169,170.3051,10,4.4,mb,,186,2.737,0.29,us,us7000gzvj,2022-06-04T20:42:27.040Z,"254 km E of Tadine, New Caledonia",earthquake,12.2,2,0.239,9,reviewed,us,us
2022-03-31T05:45:43.723Z,-18.1603,-173.8272,48.76,5.3,mb,,80,4.662,0.57,us,us7000gzvh,2022-06-04T20:42:27.040Z,"56 km NNE of Neiafu, Tonga",earthquake,8.6,11.5,0.154,14,reviewed,us,us
2022-03-31T05:44:01.146Z,-22.586,170.3744,10,7,mww,,26,2.705,0.82,us,us7000gymk,2022-06-04T20:42:27.040Z,"southeast of the Loyalty Islands",earthquake,7.1,1.8,0.057,30,reviewed,us,us
2022-03-31T04:44:42.499Z,0.1738,124.6327,66.91,4.3,mb,,113,2.218,0.33,us,us7000gzv5,2022-06-04T20:42:27.040Z,"127 km S of Tomohon, Indonesia",earthquake,10,8.4,0.177,9,reviewed,us,us
2022-03-31T04:09:44.716Z,30.5893,49.9703,10,4.7,mb,,70,5.759,0.52,us,us7000gym3,2022-06-04T20:42:27.040Z,"western Iran",earthquake,8.4,1.9,0.058,91,reviewed,us,us
2022-03-31T04:08:05.650Z,59.8429,-153.3075,120.6,2.9,ml,,,,0.47,ak,ak02244wsot1,2022-06-04T20:42:27.040Z,"45 km E of Pedro Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2022-03-31T03:54:56.970Z,-20.9772,-67.3857,189.63,4.2,mb,,52,1.853,0.7,us,us7000gyly,2022-06-04T20:42:27.040Z,"81 km SW of Uyuni, Bolivia",earthquake,5.8,6.9,0.127,17,reviewed,us,us
2022-03-31T03:33:13.425Z,38.2042,-117.8746,7.6,2.6,ml,22,66.08,0.087,0.1438,nn,nn00836401,2022-06-04T20:42:27.040Z,"29 km SE of Mina, Nevada",earthquake,,1,0.19,10,reviewed,nn,nn
2022-03-31T03:25:48.226Z,-22.312,170.2872,10,4.9,mb,,102,2.644,0.9,us,us7000gylu,2022-06-04T20:42:27.040Z,"262 km ESE of Tadine, New Caledonia",earthquake,5.9,1.8,0.104,29,reviewed,us,us
2022-03-31T03:21:39.767Z,-22.5013,170.1925,10,4.5,mb,,108,2.54,0.81,us,us7000gzv4,2022-06-04T20:42:27.040Z,"261 km ESE of Tadine, New Caledonia",earthquake,7.4,1.4,0.171,10,reviewed,us,us
2022-03-31T03:18:14.268Z,-22.3119,170.2493,10,4.7,mb,,115,3.534,0.85,us,us7000gzv2,2022-06-04T20:42:27.040Z,"258 km ESE of Tadine, New Caledonia",earthquake,6.8,1.9,0.142,15,reviewed,us,us
2022-03-31T03:06:47.419Z,-22.4028,170.1737,10,5.7,mww,,31,2.53,0.7,us,us7000gyln,2022-06-04T20:42:27.040Z,"255 km ESE of Tadine, New Caledonia",earthquake,7.8,1.7,0.075,17,reviewed,us,us
2022-03-31T02:59:31.297Z,52.8319,-167.5691,35,2.8,ml,,236,0.615,0.35,us,us7000h7m9,2022-06-04T20:42:27.040Z,"87 km E of Nikolski, Alaska",earthquake,2.1,2,0.115,10,reviewed,us,us
2022-03-31T02:50:16.863Z,-21.9174,170.2735,10,4.6,mb,,106,2.708,0.85,us,us7000gzv1,2022-06-04T20:42:26.040Z,"250 km E of Tadine, New Caledonia",earthquake,9.7,1.9,0.165,11,reviewed,us,us
2022-03-31T02:39:59.840Z,35.40516667,-97.88016667,7.36,2.65,ml,98,25,0.03239364326,0.23,ok,ok2022ggvb,2022-06-04T20:42:26.040Z,"5 km ENE of Union City, Oklahoma",earthquake,,0.4,,39,reviewed,ok,ok
2022-03-31T02:34:42.719Z,-6.4984,129.9065,124.94,4.5,mb,,92,2.02,0.82,us,us7000gzve,2022-06-04T20:42:26.040Z,"Banda Sea",earthquake,8.5,10.9,0.18,9,reviewed,us,us
2022-03-31T02:21:54.266Z,-17.4261,-172.4749,10,4.6,mb,,126,3.56,0.54,us,us7000gzv0,2022-06-04T20:42:26.040Z,"209 km NE of Neiafu, Tonga",earthquake,8.3,1.9,0.151,17,reviewed,us,us
2022-03-31T02:05:26.760Z,37.4093333,-118.6031667,10.53,3.93,mw,33,62,0.06445,0.07,nc,nc73712486,2022-06-04T20:42:26.040Z,"1km SW of Round Valley, CA",earthquake,0.27,0.74,,5,reviewed,nc,nc
2022-03-31T02:00:52.849Z,-33.5243,-72.291,10,4.2,mwr,,74,0.58,0.86,us,us7000gyl5,2022-06-04T20:42:26.040Z,"63 km W of Cartagena, Chile",earthquake,4.4,1.8,0.068,21,reviewed,us,us
2022-03-31T02:00:35.510Z,18.5535,-66.9061666666667,17.56,2.76,md,24,208,,0.23,pr,pr71342773,2022-03-31T02:52:48.700Z,"9 km NNE of Quebradillas, Puerto Rico",earthquake,0.61,0.36,0.112957525622527,20,reviewed,pr,pr
2022-03-31T01:48:49.636Z,13.8824,119.3262,10,4.6,mb,,119,8.688,0.46,us,us7000gzuz,2022-06-04T20:42:26.040Z,"Philippine Islands region",earthquake,8.6,1.9,0.151,13,reviewed,us,us
2022-03-31T01:34:15.781Z,-22.4898,170.1141,10,4.5,mb,,68,2.469,0.9,us,us7000gzux,2022-06-04T20:42:26.040Z,"253 km ESE of Tadine, New Caledonia",earthquake,8.2,1.9,0.157,12,reviewed,us,us
2022-03-31T01:18:26.345Z,23.1411,94.1874,47.16,4,mb,,87,0.735,0.76,us,us7000gzuy,2022-06-04T20:42:26.040Z,"58 km ENE of Falam, Myanmar",earthquake,8.5,10.6,0.156,11,reviewed,us,us
2022-03-31T00:57:32.722Z,-22.4764,170.4448,10,4.6,mb,,107,2.775,0.69,us,us7000gzuv,2022-06-04T20:42:26.040Z,"284 km ESE of Tadine, New Caledonia",earthquake,4.8,1.9,0.146,14,reviewed,us,us
2022-03-31T00:57:06.150Z,-24.7678,-58.2207,10,3.5,mb_lg,,79,1.751,0.62,us,us7000gyl8,2022-06-04T20:42:26.040Z,"54 km NNW of Laguna Naick-Neck, Argentina",earthquake,3.1,2,0.255,4,reviewed,us,us
2022-03-31T00:55:23.724Z,-22.4171,170.2551,10,4.6,mb,,103,2.604,0.99,us,us7000gzuw,2022-06-04T20:42:26.040Z,"263 km ESE of Tadine, New Caledonia",earthquake,5.3,1.8,0.133,17,reviewed,us,us
2022-03-31T00:28:49.547Z,-22.52,170.3472,10,4.7,mb,,104,2.682,0.92,us,us7000gykr,2022-06-04T20:42:26.040Z,"276 km ESE of Tadine, New Caledonia",earthquake,8.1,1.8,0.089,38,reviewed,us,us
2022-03-31T00:23:07.131Z,-22.4814,170.1304,10,4.7,mb,,105,2.484,0.66,us,us7000gykq,2022-06-04T20:42:26.040Z,"254 km ESE of Tadine, New Caledonia",earthquake,8,1.9,0.111,25,reviewed,us,us
2022-03-31T00:11:47.482Z,-11.1596,-77.9946,52.04,5.1,mb,,130,1.397,0.68,us,us7000gykg,2022-06-04T20:42:26.040Z,"40 km W of Caleta de Carquín, Peru",earthquake,7.7,5.8,0.039,211,reviewed,us,us
2022-03-30T23:56:20.685Z,-22.0964,170.3002,10,4.5,mb,,109,2.691,0.63,us,us7000gzm8,2022-06-04T20:42:26.040Z,"257 km ESE of Tadine, New Caledonia",earthquake,5.8,1.9,0.205,7,reviewed,us,us
2022-03-30T23:54:31.660Z,-22.482,170.2814,10,5.1,mb,,103,2.624,0.92,us,us7000gyke,2022-06-04T20:42:26.040Z,"268 km ESE of Tadine, New Caledonia",earthquake,7.8,1.8,0.073,60,reviewed,us,us
2022-03-30T23:40:35.807Z,26.8525,126.4075,10,4.2,mb,,74,1.666,0.64,us,us7000gyka,2022-06-04T20:42:26.040Z,"145 km WNW of Naha, Japan",earthquake,7.5,1.9,0.176,9,reviewed,us,us
2022-03-30T23:18:26.659Z,53.1597,-166.8283,23.63,2.7,ml,,214,0.636,0.22,us,us6000hkql,2022-06-04T20:42:26.040Z,"81 km SSW of Unalaska, Alaska",earthquake,6.3,15.5,0.097,14,reviewed,us,us
